Skill	Description
Even Better	Recover 40% HP at the start of even-numbered Turns
Better Odds	Recover 40% HP at the start of odd-numbered Turns
Relief	Recover 20% HP at the start of the user’s Turn if no units are within a 2 tile radius
Opportunity Shot	When user is a Ballistician, Skill% chance of attacking an enemy within range at the start of the users Turn
Self-Destruct	At the start of the user’s Turn, if user’s HP is under half, inflicts damage to all enemies and walls within a 2 tile radius; afterwards, the user disappears
Capture	When there is a Prison in My Castle, the user can select the “Capture” command. If a generic enemy is defeated, they will be sent to the Prison
Kidnap	When there is a Prison in My Castle, the user can select the “Capture” command. If a generic enemy is defeated, they will be sent to the Prison
Shove	Select the “Shove” command to push an adjacent ally 1 tile
Swap	Select the “Swap” command to swap places with an adjacent ally on the map
Shelter	Select the “Shelter” command to make an adjacent ally the user’s support unit
Replicate	Select the “Replicate” command once per map to create a replica with the same appearance, stats, inventory and HP as the user (Anything that happens to the replica happens to the user and vice versa–even death)
Lunge	Select the “Lunge” command to swap places with an enemy after an attack
Survey	When using the “Cannon” command, Hit rate +10
Rifled Barrel	When using the “Cannon” command, range +1 and inner/outer range -1
Warp	Select the “Warp” command to instantly move adjacent to an ally and perform another action
Strengthtaker	When user defeats the enemy, Strength +2 (up to 10) (does not overlap with other Taker skills and expires after the chapter)
Magictaker	When user defeats the enemy, Magic +2 (up to 10) (does not overlap with other Taker skills and expires after the chapter)
Skilltaker	When user defeats the enemy, Skill +2 (up to 10) (does not overlap with other Taker skills and expires after the chapter)
Speedtaker	When user defeats the enemy, Speed +2 (up to 10) (does not overlap with other Taker skills and expires after the chapter)
Lucktaker	When user defeats the enemy, Luck +2 (up to 10) (does not overlap with other Taker skills and expires after the chapter)
Defensetaker	When user defeats the enemy, Defence +2 (up to 10) (does not overlap with other Taker skills and expires after the chapter)
Resistancetaker	When user defeats the enemy, Resistance +2 (up to 10) (does not overlap with other Taker skills and expires after the chapter)
Pyrotechnics	When user triggers the battle at under half HP, the user and enemies within a 2 tile radius have their HP reduced by 20%
Vantage	At the start of battle, when the user has under half HP, they attack first
Morbid Celebration	When user triggers the battle, recover 20% HP after defeating the enemy
Mischievous	When user triggers the battle and their attack connects with the enemy, enemy’s Defence -3 and enemy is stripped
Bloodthirst	When user triggers the battle and defeats the enemy, Strength, Magic, Skill and Speed +4 for one turn
Duelist’s Blow	When user triggers the battle, Avoid +30
Darting Blow	When user triggers the battle, follow up attack speed +5
Wary Fighter	During battles, neither the user or enemy can perform follow up attacks
Poison Strike	When user triggers the battle, the enemy’s HP is reduced by 20% after the battle
Savage Blow	When user triggers the battle, enemies within a 2 tile radius have their HP reduced by 20% after the battle
Lifetaker	When user triggers the battle, recover 50% HP after defeating the enemy
Galeforce	When user triggers the battle, allows a full action if the user defeats the enemy (once per Turn and no help from a support unit)
Toxic Brew	When user triggers the battle, Skill x 1.5% chance of reducing the enemy’s Movement to 0 and Avoid by 20 after the battle (until the next Turn)
Astra	Skill x 0.5% chance of triggering 5 consecutive hits with half damage
Rend Heaven	Skill x 1.5% chance of adding half the enemy’s Strength (if user has a physical weapon) or Magic (if user has a magical weapon) as damage
Lethality	Skill x 0.25% chance of instantly defeating the enemy when dealing 1 or more damage
Dragon Fang	Skill x.0.75% chance of adding 50% of the user’s Attack Power as damage
Luna	Skill% chance of ignoring half the enemy’s Defence (if user has a physical weapon) or Resistance (if user has a magical weapon)
Sol	Skill% chance of restoring half the damage dealt to the enemy
Vengeance	Skill x 1.5% chance of adding half the user’s (Max HP – Current HP) as damage
Aether	Skill x 0.5% chance of triggering a Sol hit followed by a Luna hit
Ignis	Skill% chance of adding half the user’s Strength (if user has a physical weapon) or Magic (if user has a magical weapon) as damage
Immobilize	If user’s attack connects with the enemy, the enemy’s Movement is reduced to 0 and Avoid reduced by 20 until the next Turn
Underdog	Hit rate and Avoid +15 when user’s Level is lower than the enemy (promoted units count as Level +20)
Lucky Seven	Hit rate and Avoid +20 for the first seven Turns
Awakening	When HP is under half, Hit rate, Avoid, Critical rate and Critical Evade +30
Hit/Avo +10	Hit rate and Avoid +10
Hit/Avo +20	Hit rate and Avoid +20
Vow of Friendship	If the Avatar is an ally, when the Avatar is under half HP, user’s damage +3 and damage received -3
Fiery Blood	When user’s HP is not full, damage +4
Pride	When user’s Level is lower than the enemy’s (promoted units count as Level +20), damage +3
Nohr Enmity	When engaging a Nohr-related enemy, damage +3
Prodigy	At the start of the battle, if the enemy’s Strength or Magic (whichever is highest) is higher than Caeldori’s corresponding stat, damage +4
Vendetta	When user triggers the battle, if they’ve already fought the enemy in the same map, damage +4
Puissance	When user’s Strength is 5 or more points higher than the enemy’s Strength, damage +3 during battle
Opportunist	When user triggers the battle, if the enemy cannot counter-attack, damage +4
Unmask	When engaging a female enemy, Damage +4 and Critical rate +20
Pragmatic	When enemy’s HP is not full, damage +3 and damage received -1 during the battle
Chivalry	When enemy’s HP is at maximum, damage +2 and damage received -2 during the battle
Fierce Counter	When a male enemy triggers the battle, damage +2
Daydream	When user is adjacent to two male units paired up, damage +2 and damage received -2
Swordfaire	When user is equipped with a Sword, damage +5 during battle
Lancefaire	When user is equipped with a Lance, damage +5 during battle
Tomefaire	When user is equipped with a Tome, damage +5 during battle
Bowfaire	When user is equipped with a Bow, damage +5 during battle
Shurikenfaire	When user is equipped with a Dagger, damage +5 during battle
Axefaire	When user is equipped with an Axe, damage +5 during battle
Life and Death	During battles, damage +10, damage received +10
Quick Draw	When user triggers the battle, damage +4
Spendthrift	During battles, user spends a Gold Bar for damage +10 and damage received -10
Evenhanded	During even-numbered Turns, damage +4
Odd Shaped	During odd-numbered Turns, damage +4
Elbow Room	When user fights in terrain with no terrain effects, damage +3 during battles
Strong Riposte	When enemy triggers the battle, damage +3
Trample	Unless enemy is on a mount, damage +5
Aggressor	When user triggers the battle, Damage +7
Warding Blow	When user triggers the battle, magical damage received -20
Armored Blow	When user triggers the battle, physical damage received -10
Natural Cover	When user fights in terrain with terrain effects, damage received -3 during battles
Even Keel	During even-numbered Turns, magical damage received -4
Iron Will	When enemy triggers the battle, magical damage received -4
Collector	Luck% chance of obtaining 3 Minerals or Foodstuffs after moving up to the 7th Turn
Goody Basket	At the start of the Turn, Luck% chance of recovering 10% HP
Make a Killing	Luck% chance of obtaining Gold after defeating an enemy
Salvage Blow	When user triggers the battle, Luck% chance of receiving a Katana, Naginata, Club, Yumi or Shuriken if the user defeats the enemy
Future Sight	When user triggers the battle, Luck% chance of gaining double experience when user defeats the enemy
Nobility	Experience gained x 1.2
Paragon	Experience gained is doubled
Void Curse	No experience is gained from fighting this enemy
Miracle	Luck% chance of leaving the user with 1 HP when they have 2 or more HP
Profiteer	Luck% chance of obtaining a Gold Bar after moving during the first seven Turns
Good Fortune	Luck% chance of recovering 20% HP at the start of the user’s Turn
Witch’s Brew	Luck% chance of obtaining a potion item (eg. Vulnerary) after moving during the first seven Turns
In Extremis	When user’s HP is under a quarter, Critical rate +30
Aching Blood	When equipped with a forged weapon whose name is at least 12 characters, Critical rate +10
Bibliophile	When user is carrying 3 or more Tomes, Critical rate +10
Death Blow	When user triggers the battle, Critical rate +20
Gamble	Hit rate -10, Critical rate +10
Pavise	Skill% chance of halving damage from Sword, Lance, Axe, Beaststone, Claw or Puppet attacks
Aegis	Skill% chance of halving damage from Bow, Magic, Dagger, Dragonstone, Breath or Stone attacks
Shadowgift	User can equip Dark Mage exclusive Tomes (only Nosferatu so far)
Point Blank	User can attack enemies at 1 Range with a Bow
Optimist	When user is healed by a staff, they recover 1.5 times the normal HP
Reciprocity	When a unit uses a healing staff on the user, that unit has their HP recovered by half the same amount
Live to Serve	When healing an ally, the user recovers the same amount of HP
Optimistic	After choosing to Wait, Speed +4 and Luck +8 for one Turn
Sweet Tooth	After choosing to Wait, user recovers 4 HP by eating hidden treats
Calm	After choosing to Wait, Skill and Resistance +4 for one Turn
Locktouch	User can open doors and chests without requiring keys
Golembane	Attacks are effective against Mechanists, Automatons and Stoneborn
Beastbane	When user is a Wolfskin or Kitsune, their attacks are effective against Beast units
Potent Potion	The effect of HP recovery and stat-boosting potions is increased by 50%
Quick Salve	After consuming a HP recovery or stat-boosting potion, the user can perform another action
Inspiring Song	Skill, Speed and Luck +3 for one Turn for the unit who receives the user’s song
Pass	User can pass through tiles occupied by enemy units
Clarity	User recovers from status reduction effects twice as fast
Resist Status	Halves status reduction effects, Poison damage and status staff Hit rate
Immune Status	Negates status reduction effects, Poison damage and status staff Hit rate
Divine Shield	Halves damage and negates Lethality, Poison and Counter-type skills.
Dragonskin	Halves damage, weakens critical hits and special skills (eg. Astra, Luna, Sol) and negates Lethality, Poison and Counter-type skills.
Winged Shield	When user is a Flying unit, their Flying weakness is nullified and they will receive terrain effects
Beast Shield	User’s Beast-type weakness is nullified
Armor Shield	User’s Armour-type weakness is nullified
